Day number 0,100
Day number 1,89
Day number 2,69
Day number 3,51
Day number 4,43
Day number 5,29
Day number 6,27
Day number 7,8
Day number 8,96
Day number 9,88
Day number 10,73
Day number 11,58
Day number 12,49
Day number 13,49
Day number 14,42
Day number 15,26
Day number 16,109
Day number 17,90
Day number 18,70
Day number 19,67
Day number 20,48
Day number 21,30
Day number 22,14
Day number 23,4
Day number 24,103
Day number 25,98
Day number 26,86
Day number 27,73
Day number 28,69
Day number 29,58
Day number 30,47
Day number 31,32
Day number 32,126
Day number 33,110
Day number 34,98
Day number 35,97
Day number 36,85
Day number 37,69
Day number 38,55
Day number 39,46
Day number 40,127
Day number 41,125
Day number 42,124
Day number 43,113
Day number 44,93
Day number 45,73
Day number 46,73
Day number 47,54
Day number 48,140
Day number 49,124
Day number 50,114
Day number 51,96
Day number 52,95
Day number 53,91
Day number 54,91
Day number 55,85
Day number 56,184
Day number 57,184
Day number 58,168
Day number 59,155
Day number 60,146
